id1,id2,lat,lon,el
10775507020004,,43.045378,-123.905345,457.2
12393556010497,,41.634495,-123.785779,518.16
12778284010497,,45.251447,-118.964179,1249.68
12778644010497,,45.455118,-118.277455,1005.84
12778871010497,,45.540632,-118.474862,1188.72
12779351010497,,45.603255,-118.328879,1005.84
12779652010497,,45.742901,-118.329383,1005.84
12779828010497,,45.749633,-118.176309,1188.72
12780166010497,,45.939475,-118.027039,1493.52
12781089010497,,45.107733,-118.094701,1554.48
12784041010497,,45.175621,-118.499888,1493.52
12784581010497,,45.25238,-118.084832,1554.48
12784780010497,,45.264251,-117.768429,1127.76
12784948010497,,45.604789,-117.796686,1005.84
12785579010497,,45.741197,-117.801862,1249.68
12785768010497,,45.793984,-117.971737,1371.6
12787771010497,,45.320762,-117.250253,1554.48
12788042010497,,45.297183,-117.106881,1493.52
12788467010497,,45.425304,-117.438653,1310.64
12789122010497,,45.47857,-116.732618,1615.44
12789506010497,,45.645986,-117.617962,1127.76
12789700010497,,45.66436,-117.316312,1432.56
12789898010497,,45.707136,-117.341412,1371.6
12790548010497,,45.801306,-117.118585,1432.56
12790777010497,,45.659911,-117.381211,1371.6
12791651010497,,45.931463,-117.811294,1127.76
12792107010497,,45.975974,-117.665577,1249.68
12793015010497,,44.900233,-121.64201,1066.8
12794149010497,,45.011953,-121.783462,1310.64
12795490010497,,45.041307,-121.464878,822.96
12797295010497,,45.202458,-121.49107,1066.8
12797668010497,,45.225112,-121.680278,1371.6
12798500010497,,45.422184,-121.391521,1066.8
12798959010497,,45.580291,-121.387612,518.16
12799456010497,,45.699741,-123.31423,396.24
12799819010497,,45.746028,-123.178436,457.2
12800605010497,,44.380418,-119.866874,1737.36
12801126010497,,44.517018,-120.184466,1310.64
12801636010497,,44.695168,-119.890479,1249.68
12802142010497,,44.97483,-119.766455,1310.64
12802420010497,,44.963073,-120.052727,1188.72
12802730010497,,45.185078,-123.549569,457.2
12802934010497,,45.204711,-123.735115,640.08
12803126010497,,45.257353,-123.370498,579.12
12803348010497,,45.311793,-123.450775,701.04
12803573010497,,45.409963,-123.452642,518.16
12804607010497,,42.399668,-122.070919,1371.6
12805523010497,,42.499403,-121.759481,1493.52
12820922010497,,43.494509,-122.557545,1066.8
12821245010497,,43.511351,-122.728401,1188.72
12822088010497,,43.6132,-122.89925,396.24
