id1,id2,lat,lon,el
48203389010497,44975961020004,45.887079,-121.564215,822.96
48203395010497,44873323020004,44.285321,-120.477399,1493.52
48203396010497,44993591020004,48.459522,-121.48883,518.16
48203397010497,44992783020004,48.306475,-121.499529,335.28
48203397010497,44992784020004,48.306475,-121.499529,335.28
48203425010497,44999306020004,48.264657,-121.869314,91.44
48203446010497,44979223020004,46.68268,-121.532465,883.92
48203446010497,44979224020004,46.68268,-121.532465,883.92
48203479010497,44751814020004,40.046641,-121.083935,1310.64
48203479010497,44751815020004,40.046641,-121.083935,1310.64
48203479010497,44751817020004,40.046641,-121.083935,1310.64
48203485010497,45015173020004,44.418777,-121.658611,1066.8
48203487010497,44750159020004,39.747014,-121.02796,1737.36
48203488010497,45006178020004,48.991312,-123.061218,30.48
48203488010497,45006180020004,48.991312,-123.061218,30.48
48203494010497,44868090020004,45.152685,-122.466466,213.36
48203511010497,44991332020004,47.002382,-121.593277,1188.72
48203511010497,44991333020004,47.002382,-121.593277,1188.72
48203519010497,45003809020004,46.336068,-123.568165,213.36
48203519010497,45003810020004,46.336068,-123.568165,213.36
48203519010497,45003811020004,46.336068,-123.568165,213.36
48203519010497,45003812020004,46.336068,-123.568165,213.36
48203520010497,44787658020004,41.934642,-123.581613,1066.8
48203523010497,44896315020004,42.599466,-123.195151,640.08
48203524010497,44899635020004,42.649126,-123.388279,518.16
48203526010497,44778473020004,40.853472,-123.403111,640.08
48203527010497,44790060020004,41.116551,-123.742682,335.28
48203529010497,44789745020004,41.105826,-124.078473,213.36
48203533010497,44909690020004,43.682737,-122.565009,1188.72
48203539010497,44973459020004,47.526466,-121.933893,30.48
48203546010497,45333955020004,47.378771,-121.932092,213.36
48203546010497,45333958020004,47.378771,-121.932092,213.36
48203556010497,44990985020004,46.986854,-121.958126,701.04
48203557010497,44990728020004,46.811711,-121.895177,1005.84
48203557010497,44990730020004,46.811711,-121.895177,1005.84
48203557010497,44990731020004,46.811711,-121.895177,1005.84
48203558010497,44977969020004,46.547532,-121.684604,1066.8
48203558010497,44977970020004,46.547532,-121.684604,1066.8
48203561010497,44867475020004,45.012201,-121.919587,701.04
48203561010497,44867476020004,45.012201,-121.919587,701.04
48203562010497,44867060020004,44.912498,-121.920088,1188.72
48203564010497,45022517020004,46.038674,-121.61598,1005.84
48203564010497,45022518020004,46.038674,-121.61598,1005.84
48203574010497,44894041020004,45.500392,-121.711704,1066.8
48203577010497,44915426020004,44.365626,-121.997587,1005.84
48203581010497,177492395020004,44.073789,-121.937413,1005.84
48203581010497,177492396020004,44.073789,-121.937413,1005.84
48203590010497,44747417020004,39.230301,-120.989623,1005.84
48203595010497,44992284020004,47.399183,-122.757171,152.4
48203603010497,44991722020004,47.070659,-122.673361,91.44
48203604010497,45334064020004,47.808617,-122.484305,91.44
48203604010497,45334067020004,47.808617,-122.484305,91.44
48203608010497,44978551020004,46.639535,-122.414751,762.0
48203608010497,44978552020004,46.639535,-122.414751,762.0
48203609010497,44978305020004,46.587853,-122.56875,274.32
48203609010497,44978308020004,46.587853,-122.56875,274.32
48203610010497,44992186020004,47.248827,-122.321697,30.48
48203613010497,44965003020004,46.243262,-122.49594,579.12
48203618010497,45335872020004,46.349009,-122.208303,1005.84
48203618010497,45335875020004,46.349009,-122.208303,1005.84
48203621010497,44919597020004,45.49389,-122.190843,457.2
48203622010497,44995447020004,45.947604,-122.11402,822.96
48203622010497,44995448020004,45.947604,-122.11402,822.96
48203623010497,44995283020004,45.846823,-121.904238,579.12
48203623010497,44995284020004,45.846823,-121.904238,579.12
48203627010497,44893873020004,45.548767,-121.84292,1005.84
48203631010497,44867263020004,44.960052,-122.261551,1005.84
48203639010497,44884099020004,43.340766,-122.351856,1371.6
48203639010497,44884100020004,43.340766,-122.351856,1371.6
48203644010497,45003618020004,47.079824,-122.876214,30.48
48203644010497,45003619020004,47.079824,-122.876214,30.48
48203650010497,45003069020004,46.780953,-122.792624,152.4
48203650010497,45003072020004,46.780953,-122.792624,152.4
48203667010497,44965144020004,46.291514,-122.706648,213.36
48203667010497,44965145020004,46.291514,-122.706648,213.36
48203681010497,44766143020004,41.245209,-121.934943,1188.72
48203693010497,177593428020004,47.719905,-123.742469,396.24
48203699010497,44979753020004,47.172984,-123.387971,91.44
48203700010497,45018489020004,44.427633,-122.876283,335.28
48203702010497,45017539020004,44.120107,-122.477219,396.24
48203702010497,45017540020004,44.120107,-122.477219,396.24
48203704010497,44978877020004,46.689192,-123.297331,518.16
48203711010497,44911858020004,44.011013,-122.626393,640.08
48203711010497,44911861020004,44.011013,-122.626393,640.08
48203713010497,44959449020004,47.849318,-120.695498,883.92
48203713010497,44959450020004,47.849318,-120.695498,883.92
48203715010497,44894613020004,42.114139,-123.098518,579.12
48203723010497,45009392020004,46.051387,-122.815327,91.44
48203725010497,45010892020004,45.945066,-122.965766,152.4
48203725010497,45010894020004,45.945066,-122.965766,152.4
48203732010497,44910316020004,43.814299,-122.921247,579.12
48203732010497,44910317020004,43.814299,-122.921247,579.12
48203734010497,44761163020004,40.795659,-122.102973,457.2
48203734010497,44761164020004,40.795659,-122.102973,457.2
48203735010497,44962935020004,48.089706,-123.990804,883.92
48203735010497,44962937020004,48.089706,-123.990804,883.92
48203736010497,177593521020004,47.962858,-123.602217,152.4
48203736010497,177593523020004,47.962858,-123.602217,152.4
48203740010497,44911426020004,43.936024,-122.744547,335.28
48203741010497,44909478020004,43.659157,-122.39383,883.92
48203743010497,177492868020004,43.489739,-122.692459,883.92
48203747010497,44930342020004,45.693468,-123.100371,457.2
48203748010497,44971802020004,47.821091,-123.185759,1554.48
48203749010497,44882796020004,43.193259,-122.293803,1737.36
48203755010497,44980497020004,47.504887,-123.152633,274.32
48203756010497,44980617020004,47.535244,-123.306902,944.88
48203757010497,44881526020004,43.048032,-122.430128,1371.6
48203759010497,44897301020004,42.943537,-122.422918,1066.8
48203764010497,45003462020004,47.032297,-123.019115,91.44
48203767010497,45003529020004,47.05349,-123.194002,152.4
48203785010497,44762063020004,40.900462,-122.441218,1005.84
48203791010497,44872072020004,43.331999,-124.306384,30.48
48203792010497,44871517020004,43.146815,-124.3128,152.4
48203796010497,44876392020004,42.82353,-124.242799,457.2
48203796010497,44876393020004,42.82353,-124.242799,457.2
48203796010497,44876395020004,42.82353,-124.242799,457.2
48203801010497,44948911020004,41.917399,-122.63543,1066.8
48203802010497,44883423020004,43.281125,-123.154754,274.32
48203804010497,44715740020004,39.543937,-122.730097,1249.68
48203804010497,44715742020004,39.543937,-122.730097,1249.68
48203806010497,44898400020004,42.26367,-123.448994,579.12
48203808010497,45011012020004,43.502952,-124.026157,457.2
48203809010497,44872325020004,43.380255,-123.837291,457.2
48203809010497,44872326020004,43.380255,-123.837291,457.2
48203811010497,44912262020004,43.585725,-123.10579,213.36
48203811010497,44912265020004,43.585725,-123.10579,213.36
48203813010497,44872199020004,43.34998,-123.990693,213.36
48203819010497,44885071020004,43.575528,-123.371434,274.32
48203820010497,44767716020004,41.447663,-123.330282,640.08
48203821010497,44899766020004,42.750036,-123.730622,1066.8
48203821010497,44899767020004,42.750036,-123.730622,1066.8
48203825010497,44721235020004,39.15833,-123.296544,701.04
48203825010497,44721236020004,39.15833,-123.296544,701.04
48203825010497,44721237020004,39.15833,-123.296544,701.04
48203828010497,44722144020004,39.523745,-123.003639,1005.84
48203828010497,44722146020004,39.523745,-123.003639,1005.84
48203829010497,45010757020004,45.799805,-123.811607,91.44
48203829010497,45010759020004,45.799805,-123.811607,91.44
48203831010497,44765235020004,41.198652,-123.137252,1249.68
48203833010497,45013469020004,43.67525,-123.710506,335.28
48203835010497,44777651020004,40.708463,-123.078952,1066.8
48203837010497,44921260020004,45.650843,-123.803318,335.28
48203837010497,44921261020004,45.650843,-123.803318,335.28
48203837010497,44921262020004,45.650843,-123.803318,335.28
48203840010497,44778763020004,40.859974,-123.073271,1188.72
48203844010497,44883051020004,43.197029,-123.638391,640.08
48203849010497,44871392020004,43.093221,-123.763429,640.08
48203849010497,44871394020004,43.093221,-123.763429,640.08
48203850010497,44880626020004,42.884993,-123.582872,640.08
48203853010497,44899406020004,42.590706,-123.723664,944.88
48203853010497,44899407020004,42.590706,-123.723664,944.88
48203854010497,44899141020004,42.587121,-123.517775,640.08
48203862010497,44896422020004,42.638584,-122.910729,883.92
48203862010497,44896424020004,42.638584,-122.910729,883.92
48203866010497,44895152020004,42.353732,-122.988272,762.0
48203866010497,44895153020004,42.353732,-122.988272,762.0
48203867010497,44894793020004,42.168468,-122.787479,944.88
48203867010497,44894794020004,42.168468,-122.787479,944.88
48203869010497,44987496020004,46.49869,-123.582518,396.24
48203872010497,44935370020004,41.806228,-123.788726,762.0
48203873010497,44950372020004,41.788646,-123.87113,1188.72
48203874010497,44768900020004,41.587622,-123.6628,944.88
48203874010497,44768901020004,41.587622,-123.6628,944.88
48203875010497,44767915020004,41.478321,-123.479211,883.92
48203875010497,44767916020004,41.478321,-123.479211,883.92
48203877010497,44898537020004,42.294757,-123.321378,822.96
48203880010497,44786210020004,41.436705,-123.653232,1127.76
48203881010497,44789929020004,41.090714,-123.599261,944.88
48203882010497,44772431020004,41.995313,-123.256193,1188.72
48203882010497,44772433020004,41.995313,-123.256193,1188.72
48203885010497,44772245020004,41.979546,-123.09725,1554.48
48203890010497,44768484020004,41.49049,-123.214977,1127.76
48203892010497,44719530020004,38.137093,-122.713282,152.4
48203896010497,44875062020004,42.249684,-123.962212,1005.84
48203896010497,44875064020004,42.249684,-123.962212,1005.84
48203897010497,44874613020004,42.196904,-124.126973,274.32
48203904010497,44787032020004,41.874011,-124.062064,518.16
48203908010497,44786369020004,41.539018,-123.998615,152.4
48203913010497,44778120020004,40.761512,-123.524645,883.92
48203914010497,44789211020004,40.785251,-123.703787,1188.72
48203917010497,44789314020004,40.91256,-123.865836,701.04
48203918010497,44789073020004,40.755631,-123.870097,152.4
48203918010497,44789074020004,40.755631,-123.870097,152.4
48203922010497,44776615020004,40.462152,-123.458354,1493.52
48203922010497,44776617020004,40.462152,-123.458354,1493.52
48203923010497,44776432020004,40.356878,-123.328968,944.88
48203925010497,44947542020004,40.422453,-123.832068,822.96
48203928010497,44944379020004,40.140725,-123.447251,883.92
48203932010497,44720923020004,39.009161,-123.27787,518.16
48203932010497,44720924020004,39.009161,-123.27787,518.16
48203932010497,44720925020004,39.009161,-123.27787,518.16
48203933010497,44721366020004,39.183038,-123.430676,457.2
48203934010497,44721185020004,39.14727,-123.530513,91.44
48203935010497,44721016020004,39.038894,-123.431512,274.32
48203940010497,44720822020004,39.633342,-123.561355,396.24
48203941010497,177324806020004,38.835124,-123.524286,335.28
48203943010497,44872433020004,43.526934,-124.18864,91.44
48203944010497,44970054020004,47.325943,-123.608446,457.2
48203946010497,44876205020004,42.673175,-124.204882,457.2
48203947010497,44875570020004,42.506913,-124.184716,335.28
48203947010497,44875571020004,42.506913,-124.184716,335.28
48203947010497,44875572020004,42.506913,-124.184716,335.28
48203947010497,44875573020004,42.506913,-124.184716,335.28
48203948010497,44932458020004,42.556827,-124.329864,396.24
48203953010497,44978441020004,46.586312,-122.21608,457.2
48203953010497,44978444020004,46.586312,-122.21608,457.2
48203954010497,44769476020004,41.646088,-123.064253,944.88
48203960010497,44759467020004,40.47176,-122.784689,944.88
48203960010497,44759468020004,40.47176,-122.784689,944.88
48203967010497,45017409020004,43.923841,-123.635365,213.36
48203974010497,45334597020004,48.232255,-120.237934,1005.84
48203974010497,45334599020004,48.232255,-120.237934,1005.84
48203974010497,45334600020004,48.232255,-120.237934,1005.84
48203980010497,44882432020004,43.165266,-122.803504,1005.84
48203996010497,45003700020004,46.219301,-123.377043,91.44
48204006010497,44972805020004,47.369655,-121.511306,822.96
48204011010497,44983939020004,48.631942,-119.01204,1127.76
48204011010497,44983940020004,48.631942,-119.01204,1127.76
48204013010497,45004924020004,48.772677,-122.139658,518.16
48204013010497,45004925020004,48.772677,-122.139658,518.16
48204013010497,45004926020004,48.772677,-122.139658,518.16
48204018010497,44966119020004,48.534394,-118.810258,1005.84
48204018010497,44966120020004,48.534394,-118.810258,1005.84
48204018010497,44966121020004,48.534394,-118.810258,1005.84
48204047010497,44869802020004,45.994061,-123.527821,335.28
48204051010497,44896722020004,42.692061,-122.721416,518.16
48204053010497,44895257020004,42.343742,-122.528349,1005.84
48204053010497,44895258020004,42.343742,-122.528349,1005.84
48204054010497,44921123020004,45.546365,-123.582401,335.28
48204057010497,44764148020004,39.550572,-120.858467,822.96
48204058010497,44885535020004,43.730168,-123.579018,396.24
48204058010497,44885536020004,43.730168,-123.579018,396.24
48204058010497,44885538020004,43.730168,-123.579018,396.24
48204066010497,44914316020004,44.555866,-123.705894,213.36
48204066010497,44914317020004,44.555866,-123.705894,213.36
48204066010497,44914318020004,44.555866,-123.705894,213.36
48204066010497,44914319020004,44.555866,-123.705894,213.36
48204075010497,44982402020004,48.421219,-119.73179,1310.64
48204079010497,45011463020004,44.450384,-120.493969,1432.56
